"Origen","Destino","Booking"
"Burzaco, Argentina","Las Toninas, Argentina",1
"Burzaco, Argentina","Mar Del Plata, Argentina",7
"Burzaco, Argentina","Miramar, Argentina",2
"Burzaco, Argentina","Pinamar, Argentina",3
"Burzaco, Argentina","Resistencia, Argentina",1
"Burzaco, Argentina","San Miguel De Tucuman, Argentina",1
"Burzaco, Argentina","Villa Gesell, Argentina",3
"Ca§uelas, Argentina","Ca§uelas, Argentina",68
"Cacheuta, Argentina","Cacheuta, Argentina",5
"Cachi, Argentina","Cachi, Argentina",113
"Cafayate, Argentina","Cafayate, Argentina",1016
"Caleta Olivia, Argentina","Buenos Aires, Argentina",6
"Caleta Olivia, Argentina","Caleta Olivia, Argentina",9
"Caleta Olivia, Argentina","Comodoro Rivadavia, Argentina",2
"Caleta Olivia, Argentina","Cordoba, Argentina",2
"Caleta Olivia, Argentina","Los Antiguos, Argentina",17
"Caleta Olivia, Argentina","Mendoza, Argentina",1
"Caleta Olivia, Argentina","Metan, Argentina",1
"Caleta Olivia, Argentina","Olavarria, Argentina",2
"Caleta Olivia, Argentina","Parana, Argentina",1
"Caleta Olivia, Argentina","Puerto Madryn, Argentina",1
"Caleta Olivia, Argentina","Puerto San Julian, Argentina",1
"Caleta Olivia, Argentina","Rio Gallegos, Argentina",4
"Caleta Olivia, Argentina","San Carlos De Bariloche, Argentina",2
"Caleta Olivia, Argentina","San Miguel De Tucuman, Argentina",1
"Caleta Olivia, Argentina","Santiago Del Estero, Argentina",2
"Caleta Olivia, Argentina","Trelew, Argentina",3
"Calilegua, Argentina","Calilegua, Argentina",3
"Campana, Argentina","Campana, Argentina",988
"Campana, Argentina","Chajari, Argentina",1
"Campana, Argentina","Cordoba, Argentina",9
"Campana, Argentina","Corrientes, Argentina",1
"Campana, Argentina","La Falda, Argentina",1
"Campana, Argentina","Mar Del Plata, Argentina",4
"Campana, Argentina","Posadas, Argentina",1
"Campana, Argentina","Puerto Esperanza, Argentina",1
"Campana, Argentina","Rosario, Argentina",6
"Campana, Argentina","San Clemente Del Tuyu, Argentina",2
"Campana, Argentina","San Francisco, Argentina",3
"Campana, Argentina","Santa Teresita, Argentina",1
"Campana, Argentina","Santiago Del Estero, Argentina",1
"Campana, Argentina","Villa Carlos Paz, Argentina",2
"Campana, Argentina","Villa Maria, Argentina",2
"Campana, Argentina","Wanda, Argentina",1
"Campo Quijano, Argentina","Campo Quijano, Argentina",1
"Capilla Del Monte, Argentina","Buenos Aires, Argentina",9
"Capilla Del Monte, Argentina","Capilla Del Monte, Argentina",172
"Capilla Del Monte, Argentina","El Talar De Pacheco, Argentina",1
"Capilla Del Monte, Argentina","Lujan, Argentina",1
"Capilla Del Monte, Argentina","Rosario, Argentina",1
