PERIODO;ORIGENFECHA;ORIGENESTACIONID;ORIGENNOMBRE;DESTINOFECHA;DESTINOESTACIONID;DESTINONOMBRE;TIEMPOUSO
2010;29/12/2010 15:18;5;ADUANA;29/12/2010 15:43;6;DERECHO;25
2010;29/12/2010 15:13;3;RETIRO;29/12/2010 15:25;5;ADUANA;13
2010;29/12/2010 14:58;3;RETIRO;29/12/2010 15:51;3;RETIRO;53
2010;29/12/2010 14:50;5;ADUANA;29/12/2010 15:13;5;ADUANA;23
2010;29/12/2010 14:36;5;ADUANA;29/12/2010 15:15;5;ADUANA;40
2010;29/12/2010 14:32;7;PLAZA ROMA;29/12/2010 15:17;5;ADUANA;45
2010;29/12/2010 14:29;5;ADUANA;29/12/2010 15:40;6;DERECHO;71
2010;29/12/2010 14:24;7;PLAZA ROMA;29/12/2010 15:20;7;PLAZA ROMA;56
2010;29/12/2010 14:22;6;DERECHO;29/12/2010 14:49;5;ADUANA;27
2010;29/12/2010 14:19;3;RETIRO;29/12/2010 14:30;7;PLAZA ROMA;11
2010;29/12/2010 14:16;6;DERECHO;29/12/2010 16:12;3;RETIRO;116
2010;29/12/2010 14:09;7;PLAZA ROMA;29/12/2010 14:33;3;RETIRO;24
2010;29/12/2010 14:05;7;PLAZA ROMA;29/12/2010 14:25;6;DERECHO;19
