ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
83;BUSTO              ;1;BRONCE Y MARMOL           ;ENRIQUE LARRETA                        ;BUSTILLO, ALEJANDRO        ;JARDIN DE LOS POETAS             ;JARDIN DE LOS POETAS             ;                                                                      ;                                               ;;MONSERRAT;;;;;
84;BUSTO              ;1;CEMENTO PATINADO          ;ALBERTO VACCAREZZA                     ;TOTO, CARLOS MARIA         ;PLAZA ALBERTO VACCAREZZA         ;PLAZA ALBERTO VACCAREZZA         ;ALCARAZ 5400                                                          ;ALCARAZ                                        ;5400;BELGRANO;COMUNA 10;1407;C1407GIZ;-34.62600959556065;-58.51122985103146
85;RELOJ SOLAR        ;1;                          ;MOTIVO DECORATIVO                      ;NATIONAL PANASONIC         ;PLAZA ALFEREZ SOBRAL             ;PLAZA ALFEREZ SOBRAL             ;SALGUERO, JERONIMO 2502                                               ;SALGUERO, JERONIMO                             ;2502;RECOLETA;COMUNA 14;1425;C1425DEW;-34.58212277794186;-58.410202603405686
86;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZOLETA              ;D.G.M                      ;PLAZA ALFREDO NOBEL              ;PLAZA ALFREDO NOBEL              ;TURIN 3300                                                            ;TURIN                                          ;3300;BALVANERA;COMUNA 15;1431;C1431DHH;-34.58759752170362;-58.48374280817317
87;ANTENA             ;1;HIERRO                    ;HJE. A LA BANDERA                      ;M.O.A.                     ;PLAZA ALFREDO NOBEL              ;PLAZA ALFREDO NOBEL              ;TURIN 3300                                                            ;TURIN                                          ;3300;;COMUNA 15;1431;C1431DHH;-34.58759752170362;-58.48374280817317
88;MONOLITO           ;1;GRANITO GRIS              ;HJE. JOSE HERNANDEZ                    ;CAMPOLONGHI, CARLOS        ;PZTA. JOSE HERNANDEZ             ;PZTA. JOSE HERNANDEZ             ;                                                                      ;                                               ;;BELGRANO;;;;;
89;PLACA Y MONOLITO   ;1;MARMOL Y MAMPOSTERIA      ;HJE. A LA VIRGEN DE ITATI              ;D.G.O.M.                   ;PLAZA ALMAGRO                    ;PLAZA ALMAGRO                    ;SARMIENTO 3800                                                        ;SARMIENTO                                      ;3800;BELGRANO;COMUNA 5;1197;C1197AAB;-34.60534232188875;-58.418220920795456
90;MONOLITO MONUMENTAL;1;MARMOL                    ;HJE. 80∞ ANIV. REVOLUCION DE MAYO   ;CAMPOLONGHI, CARLOS        ;CANTERO CENTRAL PROV.DE MISIONES ;CANTERO CENTRAL PROV.DE MISIONES ;                                                                      ;                                               ;;MONSERRAT;;;;;
91;BUSTO              ;1;BRONCE                    ;GRL. JOSE DE SAN MARTIN                ;FUNDICION RADAELLI         ;PLAZA ALMAGRO                    ;PLAZA ALMAGRO                    ;SARMIENTO 3800                                                        ;SARMIENTO                                      ;3800;;COMUNA 5;1197;C1197AAB;-34.60534232188875;-58.418220920795456
92;ESTATUA            ;1;BRONCE                    ;MADRE MARINERA                         ;CAPURRO, ROBERTO           ;PEDRO DE MENDOZA Y OLAVARRIA     ;PEDRO DE MENDOZA Y OLAVARRIA     ;DON PEDRO DE MENDOZA AV. Y OLAVARRIA                                  ;DON PEDRO DE MENDOZA AV.                       ;;;COMUNA 4;;;-34.63418327783781;-58.35345964096802
93;RELIEVE Y FUENTE   ;1;MAMPOSTERIA Y PIEDRA      ;EL FAUNO                               ;SFORZA, CESAR              ;PLAZA ALMAGRO                    ;PLAZA ALMAGRO                    ;SARMIENTO 3800                                                        ;SARMIENTO                                      ;3800;;COMUNA 5;1197;C1197AAB;-34.60534232188875;-58.418220920795456
94;MASTIL             ;1;GRANITO RECONSTITUIDO     ;HJE. A LA BANDERA                      ;VARANGOT, ING. JORGE       ;PLAZA ALMAGRO                    ;PLAZA ALMAGRO                    ;SARMIENTO 3800                                                        ;SARMIENTO                                      ;3800;VILLA LURO;COMUNA 5;1197;C1197AAB;-34.60534232188875;-58.418220920795456
95;PLACA Y MONOLITO   ;1;MARMOL Y MAMPOSTERIA      ;HJE. A VICENTE SAN LORENZO             ;                           ;PLAZA ALMAGRO                    ;PLAZA ALMAGRO                    ;SARMIENTO 3800                                                        ;SARMIENTO                                      ;3800;PALERMO;COMUNA 5;1197;C1197AAB;-34.60534232188875;-58.418220920795456
96;ESTATUA            ;1;BRONCE                    ;DR. JUAN F. AGUILAR                    ;CARLIN, JOSE               ;HOSPITAL MUNICIPAL RAMOS MEJIA   ;HOSPITAL MUNICIPAL RAMOS MEJIA   ;URQUIZA, GRAL. 609                                                    ;URQUIZA, GRAL.                                 ;609;PARQUE CHAS;COMUNA 3;1221;C1221ADC;-34.617620510654355;-58.409400324618595
97;ESTATUA            ;1;PIEDRA                    ;JUVENTUD                               ;CAPURRO, ROBERTO           ;PLAZA ALMIRANTE BROWN            ;PLAZA ALMIRANTE BROWN            ;SALVADORES, CNEL. E IRALA                                             ;SALVADORES, CNEL.                              ;;PARQUE CHAS;COMUNA 4;;;-34.6444435207776;-58.36546878215825
98;BUSTO Y BASE       ;1;BRONCE Y HORMIGON         ;FEDERICO GARCIA LORCA                  ;CARRETERO, EDUARDO         ;JARDIN DE LOS POETAS             ;JARDIN DE LOS POETAS             ;                                                                      ;                                               ;;;;;;;
99;ESTATUA            ;1;BRONCE                    ;EL MODERNO ANTEO                       ;LEGUIZAMON PONDAL          ;PLAZA ALMIRANTE BROWN            ;PLAZA ALMIRANTE BROWN            ;SALVADORES, CNEL. E IRALA                                             ;SALVADORES, CNEL.                              ;;ALMAGRO;COMUNA 4;;;-34.6444435207776;-58.36546878215825
100;BUSTO              ;1;YESO                      ;GUILLERMO RAWSON                       ;CASA ARDUINO               ;HOSPITAL MUNICIPAL RAWSON        ;HOSPITAL MUNICIPAL RAWSON        ;ALCORTA, AMANCIO AV. 1502                                             ;ALCORTA, AMANCIO AV.                           ;1502;;COMUNA 4;1283;C1283AAO;-34.63464908546135;-58.38466646227171
101;MASTIL MONUMENTAL  ;1;PIEDRA                    ;GLORIAS NAVALES DE LA NACION           ;LEONE, JUAN BAUTISTA       ;PLAZA ALMIRANTE BROWN            ;PLAZA ALMIRANTE BROWN            ;SALVADORES, CNEL. E IRALA                                             ;SALVADORES, CNEL.                              ;;ALMAGRO;COMUNA 4;;;-34.6444435207776;-58.36546878215825
102;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A CARLOS PELLEGRINI                ;CASAS, C.                  ;PZTA.CARLOS PELLEGRINI           ;PZTA.CARLOS PELLEGRINI           ;ALVEAR AV. 1350                                                       ;ALVEAR AV.                                     ;1350;BOCA;COMUNA 1;1014;C1014AAN;-34.59167891664071;-58.383109364623046
103;BUSTO              ;1;CEMENTO BLANCO            ;ALMTE. RAMON GONZALEZ FERNANDEZ        ;FERRARO, JUAN CARLOS       ;PLAZA ALMTE. RAMON GONZALEZ FERNA;PLAZA ALMTE. RAMON GONZALEZ FERNA;SARMIENTO AV. E IRAOLA AV.                                            ;SARMIENTO AV.                                  ;;ALMAGRO;COMUNA 14;;;-34.57214617085929;-58.41246804358268
104;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;CENTRO COMERCIAL           ;BARRIO CORONEL DORREGO           ;BARRIO CORONEL DORREGO           ;                                                                      ;                                               ;;ALMAGRO;;;;;
105;PLACA              ;1;BRONCE                    ;HOMENAJE AL GRL. SAN MARTIN            ;CENTRO COMERCIAL           ;BIBLIOTECA EL PROGRESO           ;BIBLIOTECA EL PROGRESO           ;RIESTRA AV. 5655                                                      ;RIESTRA AV.                                    ;5655;ALMAGRO;COMUNA 8;1439;C1439BYH;-34.67680478758708;-58.474957215678586
106;MONUMENTO          ;1;BRONCE Y PIEDRA           ;WILLIAM C. MORRIS                      ;CERANTONIO, HUMBERTO       ;AV FIGUEROA ALCORTA-MENDEZ AGUSTI;AV FIGUEROA ALCORTA-MENDEZ AGUSTI;                                                                      ;                                               ;;BALVANERA;;;;;
107;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZA                  ;E.A.I.M.                   ;PLAZA ANTONIO MALAVER            ;PLAZA ANTONIO MALAVER            ;GIRARDOT Y ESTOMBA                                                    ;GIRARDOT                                       ;;BOCA;COMUNA 15;;;-34.58694639771104;-58.4672902601497
108;ESTATUA            ;1;MARMOL                    ;LA CIGALE                              ;CHARPENTIER, FELIX M.      ;ROSEDAL                          ;ROSEDAL                          ;ISABEL, INFANTA AV. 900                                               ;ISABEL, INFANTA AV.                            ;900;;COMUNA 14;1425;C1425CHA;-34.57006679763025;-58.42048286500513
109;MONUMENTO          ;1;GRANITO Y BRONCE          ;ALMIRANTE GUILLERMO BROWN              ;CHIAPASCO, ALEJANDRO       ;PZTA. JOSE RAZZANO               ;PZTA. JOSE RAZZANO               ;                                                                      ;                                               ;;BOCA;;;;;
110;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A PROCERES DE LA INDEPENDENCIA    ;D.O.M.                     ;PLAZA ARENALES                   ;PLAZA ARENALES                   ;MERCEDES 4058                                                         ;MERCEDES                                       ;4058;BARRACAS;COMUNA 11;1419;C1419BGJ;-34.60024618132441;-58.512812850645886
111;MASTIL             ;1;MAMPOSTERIA               ;HJE. A LA BANDERA                      ;PERLOTI, LUIS              ;PLAZA ARENALES                   ;PLAZA ARENALES                   ;MERCEDES 4058                                                         ;MERCEDES                                       ;4058;BOCA;COMUNA 11;1419;C1419BGJ;-34.60024618132441;-58.512812850645886
112;ESTATUA            ;1;BRONCE                    ;LA  CAUTIVA                            ;CHIERICO, SANTIAGO         ;PZTA.  VICENTE  BELLINI          ;PZTA.  VICENTE  BELLINI          ;RIVADAVIA AV. 9175                                                    ;RIVADAVIA AV.                                  ;9175;RETIRO;COMUNA 10;1407;C1407DZA;-34.63648455457271;-58.49349567441435
113;MONUMENTO Y BASE   ;1;BRONCE Y MAMPOSTERIA      ;CONDE ANTONIO DEVOTO                   ;ZOCCHI, ARNALDO            ;PLAZA ARENALES                   ;PLAZA ARENALES                   ;MERCEDES 4058                                                         ;MERCEDES                                       ;4058;PALERMO;COMUNA 11;1419;C1419BGJ;-34.60024618132441;-58.512812850645886
114;PLACA              ;1;MARMOL                    ;HJE. AL CONDE ANTONIO DEVOTO           ;                           ;PLAZA ARENALES                   ;PLAZA ARENALES                   ;MERCEDES 4058                                                         ;MERCEDES                                       ;4058;;COMUNA 11;1419;C1419BGJ;-34.60024618132441;-58.512812850645886
115;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. 150∞ ANIV. INDEPENDENCIA NACION;                           ;PLAZA ARENALES                   ;PLAZA ARENALES                   ;MERCEDES 4058                                                         ;MERCEDES                                       ;4058;VILLA LUGANO;COMUNA 11;1419;C1419BGJ;-34.60024618132441;-58.512812850645886
116;TEMPLETE           ;1;MAMPOSTERIA Y MAYOLICA    ;VIRGEN DE LUJAN                        ;                           ;PLAZA ARENALES                   ;PLAZA ARENALES                   ;MERCEDES 4058                                                         ;MERCEDES                                       ;4058;;COMUNA 11;1419;C1419BGJ;-34.60024618132441;-58.512812850645886
117;BUSTO              ;1;QUEBRACHO                 ;DR. PROSPERO DECO                      ;CONDINO, B. R.             ;HOSPITAL MUNICIPAL PENNA         ;HOSPITAL MUNICIPAL PENNA         ;CHUTRO, PEDRO, PROF., DR. 3380                                        ;CHUTRO, PEDRO, PROF., DR.                      ;3380;VILLA ORTUZAR;COMUNA 4;1437;C1437IYP;-34.64305175477846;-58.41141236482849
118;MASTIL             ;1;MAMPOSTERIA E HIERRO      ;HJE. A LA BANDERA                      ;D.A.O.M.                   ;PLAZA ARISTOBULO DEL VALLE       ;PLAZA ARISTOBULO DEL VALLE       ;CUENCA 2500                                                           ;CUENCA                                         ;2500;PALERMO;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
119;GRUPO ESCULTORICO  ;1;CEMENTO PATINADO          ;LA MADRE                               ;LUNA, MARY LUZ             ;PLAZA ARISTOBULO DEL VALLE       ;PLAZA ARISTOBULO DEL VALLE       ;CUENCA 2500                                                           ;CUENCA                                         ;2500;;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
120;BUSTO              ;1;CEMENTO PATINADO          ;GRL. SAN MARTIN                        ;M.O.A.                     ;PLAZA ARISTOBULO DEL VALLE       ;PLAZA ARISTOBULO DEL VALLE       ;CUENCA 2500                                                           ;CUENCA                                         ;2500;VILLA DEVOTO;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
121;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL 50∞ ANIV. DE VILLA DEL PARQU;                           ;PLAZA ARISTOBULO DEL VALLE       ;PLAZA ARISTOBULO DEL VALLE       ;CUENCA 2500                                                           ;CUENCA                                         ;2500;VILLA DEVOTO;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
122;ESTATUA            ;1;MARMOL                    ;LA PRIMAVERA                           ;CORREA MORALES, L.         ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;VELEZ SARSFIELD;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
