ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
1166;ESTATUA            ;1;MARMOL                    ;VENUS CITEREA                          ;REPRODUCCION               ;PZTA. PEDRO M. DE OBLIGADO       ;PZTA. PEDRO M. DE OBLIGADO       ;DEL LIBERTADOR AV. 550                                                ;DEL LIBERTADOR AV.                             ;550;;COMUNA 1;1001;C1001ABS;-34.588990727914016;-58.38143309229047
1167;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA OBRA 1124                 ;D.A.O.M. Y M.O.A.          ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1168;BASE               ;1;MAMPOSTERIA               ;SUSTENTACION BUSTO 1775                ;D.G.M                      ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;PALERMO;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1169;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA OBRA 1775                 ;D.G.M                      ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;PALERMO;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1170;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A BALLET NACIONAL                 ;D.G.O.M.                   ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;PALERMO;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1171;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL ARBOL                          ;D.G.O.M.                   ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;PALERMO;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1172;PLACA              ;1;FIBROCEMENTO              ;HJE. A HIDALGO Y COSTILLA              ;DIRECCION DE PASEOS Y M.O.A;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;PALERMO;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1173;BASE (P/CUAD. SOLAR;1;MARMOL                    ;MOTIVO DECORATIVO                      ;E.A.I.M.                   ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;BALVANERA;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1174;ESTATUA            ;1;MARMOL                    ;LA VID                                 ;REPRODUCCION               ;SANTOS LUGARES  (PROV.DE BS.AS)  ;SANTOS LUGARES  (PROV.DE BS.AS)  ;                                                                      ;                                               ;;BALVANERA;;;;;
1175;ESTATUA            ;1;MARMOL                    ;LA PRIMAVERA                           ;REPRODUCCION               ;PARQUE LEZAMA                    ;PARQUE LEZAMA                    ;PASEO COLON AV. 1503                                                  ;PASEO COLON AV.                                ;1503;PALERMO;COMUNA 4;1063;C1063ADC;-34.62520921867097;-58.36797836195892
1176;ESTATUA            ;1;MARMOL                    ;MUJER GRIEGA                           ;REPRODUCCION               ;PARQUE LEZAMA                    ;PARQUE LEZAMA                    ;PASEO COLON AV. 1503                                                  ;PASEO COLON AV.                                ;1503;RETIRO;COMUNA 4;1063;C1063ADC;-34.62520921867097;-58.36797836195892
1177;MONUMENTO          ;1;BRONCE Y MARMOL           ;DN. HIPOLITO YRIGOYEN                  ;FERRARI, PEDRO             ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;SAN NICOLAS;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1178;FIGURA             ;1;MARMOL                    ;LEON                                   ;REPRODUCCION               ;PZTA. CAMPA??A DEL CHACO       ;PZTA. CAMPA?A DEL CHACO       ;CALABRIA AV. Y RAWSON DE DELLEPIANE, ELVIRA AV.                       ;CALABRIA AV.                                   ;;SAN NICOLAS;COMUNA 1;;;-34.61924936713924;-58.357711582545946
1179;FIGURA             ;1;MARMOL                    ;LEONA                                  ;REPRODUCCION               ;PZTA. CAMPA??A DEL CHACO       ;PZTA. CAMPA?A DEL CHACO       ;CALABRIA AV. Y RAWSON DE DELLEPIANE, ELVIRA AV.                       ;CALABRIA AV.                                   ;;SAN NICOLAS;COMUNA 1;;;-34.61924936713924;-58.357711582545946
1180;ESTATUA            ;1;GRANITO                   ;CHOLITA                                ;REYES, FRANCISCO           ;AV. BOEDO 853                    ;AV. BOEDO 853                    ;BOEDO AV. 853                                                         ;BOEDO AV.                                      ;853;SAN NICOLAS;COMUNA 5;1218;C1218AAE;-34.62324764317158;-58.416376205322415
1181;BAJO RELIEVE       ;1;PIEDRA                    ;LWDVING VAN BEETHOVEN                  ;FIORAVANTI, JOSE           ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;SAN NICOLAS;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1182;BUSTO              ;1;MARMOL                    ;DR. CARLOS A. PUEYRREDON               ;REYES, FRANCISCO           ;PALACIO MUNICIPAL                ;PALACIO MUNICIPAL                ;BOLIVAR 1                                                             ;BOLIVAR                                        ;1;SAN NICOLAS;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
